Date,TaxaID,TypeOfChange
20240610,Fallceon,changed BCG Attr from IV_worse to IV_middle
20240610,Fallceon quilleri,changed BCG Attr from IV_worse to IV_middle
20240610,Caecidotea,changed BCG Attr from IV_worse to IV_middle
20240610,Heptagenia elegantula,changed BCG Attr from IV_worse to IV_middle
20250414,CAENIS DIMINUTA GROUP,fixed spelling error (C. dimnuta should be C. diminuta)
20250414,LACUNICAMBARUS DIOGENES,nomenclature update. previously CAMBARUS DIOGENES
20250414,ANAFROPTILUM ALBUM,nomenclature update. previously CENTROPTILUM ALBUM
20250414,ANAFROPTILUM BIFURCATUM,nomenclature update. previously CENTROPTILUM BIFURCATUM
20250414,NEOCLOEON TRIANGULIFER,nomenclature update. previously CENTROPTILUM TRIANGULIFER
20250414,ANAFROPTILUM VICTORIAE,nomenclature update. previously CENTROPTILUM VICTORIAE
20250414,SCIRTIDAE,nomenclature update. Previously CYPHON
20250414,HYALELLA,nomenclature update. Previously HYALELLA AZTECA
20250414,CLEMNIUS LACCOPHILINUS,nomenclature update. Previously HYGROTUS LACCOPHILINUS
20250414,OECETIS SORDIDA,nomenclature update. Previously OECETIS DISJUNCTA
20250414,FAXONIUS,nomenclature update. Previously ORCONECTES
20250414,FAXONIUS IMMUNIS,nomenclature update. Previously ORCONECTES IMMUNIS
20250414,FAXONIUS PROPINQUUS,nomenclature update. Previously ORCONECTES PROPINQUUS
20250414,FAXONIUS RUSTICUS,nomenclature update. Previously ORCONECTES RUSTICUS
20250414,FAXONIUS VIRILIS,nomenclature update. Previously ORCONECTES VIRILIS
20250414,SCIRTIDAE,nomenclature update. Previously SCIRTES
20250414,BOREONECTES GRISEOSTRIATUS,nomenclature update. Previously STICTOTARSUS GRISEOSTRIATUS
20250414,TORTOPSIS PRIMUS,nomenclature update. Previously TORTOPUS PRIMUS
