Date,TypeOfChange,Taxon_orig,Taxon_modified,NonTarget,Notes
20231129,change OTU_BCG,CAENIS AMICA,CAENIS DIMUNTA GROUP,FALSE,"DIMUNTA GROUP per Sean Sullivan, ToddH (11/29)"
20231129,change OTU_BCG,CAENIS ANCEPS,CAENIS HILARIS GROUP,FALSE,"HILARIS GROUP per Sean Sullivan, ToddH (11/29)"
20231129,change OTU_BCG,CAENIS DIMINUTA,CAENIS DIMUNTA GROUP,FALSE,"DIMUNTA GROUP per Sean Sullivan, ToddH (11/29)"
20231129,change OTU_BCG,CAENIS HILARIS,CAENIS HILARIS GROUP,FALSE,"HILARIS GROUP per Sean Sullivan, ToddH (11/29)"
20231129,change OTU_BCG,CAENIS LATIPENNIS,CAENIS DIMUNTA GROUP,FALSE,"DIMUNTA GROUP per Sean Sullivan, ToddH (11/29)"
20231129,change OTU_BCG,CAENIS PUNCTATA,CAENIS DIMUNTA GROUP,FALSE,"DIMUNTA GROUP per Sean Sullivan, ToddH (11/29)"
20231129,change OTU_BCG,COPELATUS CHEVROLATI CHEVROLATI,COPELATUS CHEVROLATI,FALSE,collapsed to species (vs using subspecies)
20231129,change OTU_BCG,PENTAGENIA,PENTAGENIA VITTIGERA,FALSE,VITTIGERA per Todd Hubbard email (11/27/23)
20231129,change OTU_BCG,PTERONARCYS PICTETTI,PTERONARCYS PICTETII,FALSE,misspelling
20231129,change OTU_BCG,STENONEMA,STENONEMA FEMORATUM,FALSE,should all be STENONEMA FEMORATUM from 2005 onward; pre 2005 were likely immature MACCAFFERTIUM
